# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
3.66648e-06     	smoothSolver	1.60075210e-04	9.05680210e-14	1	2.55026750e-02	9.53924670e-15	1	false	smoothSolver	3.98660520e-04	5.70297250e-14	1	true	DILUPBiCGStab	5.18208190e-04	1.14739800e-10	1	true	DILUPBiCGStab	6.13102930e-06	4.04838590e-12	1	true	GAMG	3.39562430e-04	4.67526070e-15	1	true
3.76648e-06     	smoothSolver	1.58560860e-04	8.76317660e-14	1	2.48005610e-02	8.83994080e-15	1	false	smoothSolver	3.88627290e-04	5.58009240e-14	1	true	DILUPBiCGStab	5.04604660e-04	1.11709990e-10	1	true	DILUPBiCGStab	6.10014720e-06	4.01375460e-12	1	true	GAMG	3.30201050e-04	4.82708240e-15	1	true
3.86649e-06     	smoothSolver	1.57066640e-04	8.48592440e-14	1	2.41335750e-02	8.22947450e-15	1	false	smoothSolver	3.79109000e-04	5.41291770e-14	1	true	DILUPBiCGStab	4.91714150e-04	1.08839680e-10	1	true	DILUPBiCGStab	6.06845110e-06	3.97842600e-12	1	true	GAMG	3.21346340e-04	4.41303390e-15	1	true
3.96649e-06     	smoothSolver	1.55591900e-04	8.15656760e-14	1	2.34991030e-02	7.69481150e-15	1	false	smoothSolver	3.70066000e-04	5.26236030e-14	1	true	DILUPBiCGStab	4.79482100e-04	1.06116600e-10	1	true	DILUPBiCGStab	6.03593080e-06	3.94242000e-12	1	true	GAMG	3.12958740e-04	5.16107330e-15	1	true
4.06649e-06     	smoothSolver	1.53553610e-04	7.94859560e-14	1	2.28947880e-02	7.24349010e-15	1	false	smoothSolver	3.61459280e-04	5.16783060e-14	1	true	DILUPBiCGStab	4.67851410e-04	1.03546080e-10	1	true	DILUPBiCGStab	6.00264700e-06	3.90575240e-12	1	true	GAMG	3.05002690e-04	4.93012960e-15	1	true
4.1665e-06      	smoothSolver	1.50530570e-04	7.59973470e-14	1	2.23182160e-02	6.83926210e-15	1	false	smoothSolver	3.53260050e-04	5.05733700e-14	1	true	DILUPBiCGStab	4.56764260e-04	1.01143740e-10	1	true	DILUPBiCGStab	5.96861950e-06	3.86842740e-12	1	true	GAMG	2.97452060e-04	4.03209880e-15	1	true
4.2665e-06      	smoothSolver	1.47495450e-04	7.37835600e-14	1	2.17668060e-02	6.47036110e-15	1	false	smoothSolver	3.45458090e-04	4.93277490e-14	1	true	DILUPBiCGStab	4.46204080e-04	9.88898180e-11	1	true	DILUPBiCGStab	5.93279340e-06	3.83026810e-12	1	true	GAMG	2.90288240e-04	4.56090750e-15	1	true
4.3665e-06      	smoothSolver	1.44578140e-04	7.39937270e-14	1	2.12385110e-02	6.13330810e-15	1	false	smoothSolver	3.38018420e-04	4.87711340e-14	1	true	DILUPBiCGStab	4.36114760e-04	9.67647630e-11	1	true	DILUPBiCGStab	5.89220610e-06	3.79021840e-12	1	true	GAMG	2.83479500e-04	4.18218680e-15	1	true
4.46651e-06     	smoothSolver	1.41353180e-04	7.11904370e-14	1	2.07316280e-02	5.83314680e-15	1	false	smoothSolver	3.30912710e-04	4.85469560e-14	1	true	DILUPBiCGStab	4.26466090e-04	9.47693630e-11	1	true	DILUPBiCGStab	5.84275860e-06	3.74583800e-12	1	true	GAMG	2.76998190e-04	4.33221280e-15	1	true
4.56651e-06     	smoothSolver	1.37712830e-04	6.67118480e-14	1	2.02446310e-02	5.56764140e-15	1	false	smoothSolver	3.24111580e-04	4.61094870e-14	1	true	DILUPBiCGStab	4.17231090e-04	9.29578510e-11	1	true	DILUPBiCGStab	5.77979410e-06	3.69328640e-12	1	true	GAMG	2.70817150e-04	4.77051220e-15	1	true
4.66651e-06     	smoothSolver	1.33553810e-04	6.75767550e-14	1	1.97760670e-02	5.32173620e-15	1	false	smoothSolver	3.17590020e-04	4.47365500e-14	1	true	DILUPBiCGStab	4.08391140e-04	9.14293610e-11	1	true	DILUPBiCGStab	5.70019400e-06	3.62879150e-12	1	true	GAMG	2.64911550e-04	3.72637880e-15	1	true
4.76652e-06     	smoothSolver	1.28990040e-04	6.49125710e-14	1	1.93245910e-02	5.11066770e-15	1	false	smoothSolver	3.11320510e-04	4.40386840e-14	1	true	DILUPBiCGStab	3.99917750e-04	9.02921770e-11	1	true	DILUPBiCGStab	5.60384150e-06	3.54960490e-12	1	true	GAMG	2.59257940e-04	4.09576930e-15	1	true
4.86652e-06     	smoothSolver	1.24574090e-04	6.28867460e-14	1	1.88889630e-02	4.93542420e-15	1	false	smoothSolver	3.05283530e-04	4.36563490e-14	1	true	DILUPBiCGStab	3.91788690e-04	8.94050850e-11	1	true	DILUPBiCGStab	5.49962320e-06	3.46397260e-12	1	true	GAMG	2.53838410e-04	3.97445980e-15	1	true
4.96652e-06     	smoothSolver	1.20493410e-04	6.27661060e-14	1	1.84683090e-02	4.76082560e-15	1	false	smoothSolver	2.99464060e-04	4.25029590e-14	1	true	DILUPBiCGStab	3.83968430e-04	8.85738710e-11	1	true	DILUPBiCGStab	5.39557110e-06	3.37907360e-12	1	true	GAMG	2.48641770e-04	3.42242170e-15	1	true
5.06653e-06     	smoothSolver	1.16558640e-04	6.11102310e-14	1	1.80619950e-02	4.61596830e-15	1	false	smoothSolver	2.93862160e-04	4.03641210e-14	1	true	DILUPBiCGStab	3.76451280e-04	8.77478230e-11	1	true	DILUPBiCGStab	5.29218800e-06	3.29483470e-12	1	true	GAMG	2.43660020e-04	3.54888680e-15	1	true
5.16653e-06     	smoothSolver	1.12759100e-04	5.71362180e-14	1	1.76695690e-02	4.48243820e-15	1	false	smoothSolver	2.88455280e-04	4.13927990e-14	1	true	DILUPBiCGStab	3.69189750e-04	8.69592890e-11	1	true	DILUPBiCGStab	5.18947890e-06	3.21127110e-12	1	true	GAMG	2.38878930e-04	3.86269770e-15	1	true
5.26653e-06     	smoothSolver	1.09068110e-04	5.65588780e-14	1	1.72904510e-02	4.34921190e-15	1	false	smoothSolver	2.83246750e-04	4.03172680e-14	1	true	DILUPBiCGStab	3.62197210e-04	8.61296440e-11	1	true	DILUPBiCGStab	5.08734810e-06	3.12838820e-12	1	true	GAMG	2.34289430e-04	3.11597020e-15	1	true
5.36654e-06     	smoothSolver	1.05501820e-04	5.46001200e-14	1	1.69242440e-02	4.21264510e-15	1	false	smoothSolver	2.78210000e-04	3.99128110e-14	1	true	DILUPBiCGStab	3.55432550e-04	8.52646500e-11	1	true	DILUPBiCGStab	4.98581320e-06	3.04618210e-12	1	true	GAMG	2.29876380e-04	3.82987820e-15	1	true
