# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
2.98104e-06     	smoothSolver	4.49693310e-04	3.03943760e-13	1	3.20484720e-02	5.98584730e-13	1	false	smoothSolver	4.50669030e-04	7.98416640e-13	1	true	DILUPBiCGStab	4.05153540e-03	5.44682220e-12	1	true	DILUPBiCGStab	6.35274530e-07	6.35274530e-07	0	true	GAMG	4.44238260e-04	7.49087870e-14	1	true
3.08132e-06     	smoothSolver	4.34340480e-04	2.91605540e-13	1	3.10074950e-02	5.21834020e-13	1	false	smoothSolver	4.35875220e-04	7.73526050e-13	1	true	DILUPBiCGStab	3.91319060e-03	5.22599740e-12	1	true	DILUPBiCGStab	6.29597010e-07	6.29597010e-07	0	true	GAMG	4.29492010e-04	6.16774310e-14	1	true
3.18159e-06     	smoothSolver	4.19953130e-04	2.68152480e-13	1	3.00296900e-02	4.54742940e-13	1	false	smoothSolver	4.22035020e-04	7.37865940e-13	1	true	DILUPBiCGStab	3.78384340e-03	5.01391350e-12	1	true	DILUPBiCGStab	6.23918300e-07	6.23918300e-07	0	true	GAMG	4.15699010e-04	6.28269090e-14	1	true
3.28186e-06     	smoothSolver	4.06440940e-04	2.43132490e-13	1	2.91097660e-02	3.98664390e-13	1	false	smoothSolver	4.09057360e-04	7.21303770e-13	1	true	DILUPBiCGStab	3.66264900e-03	4.82339760e-12	1	true	DILUPBiCGStab	6.18313730e-07	6.18313730e-07	0	true	GAMG	4.02768240e-04	7.04384120e-14	1	true
3.38213e-06     	smoothSolver	3.93724600e-04	2.39896400e-13	1	2.82426620e-02	3.51459680e-13	1	false	smoothSolver	3.96862260e-04	7.05265250e-13	1	true	DILUPBiCGStab	3.54886110e-03	4.63699610e-12	1	true	DILUPBiCGStab	6.12775140e-07	6.12775140e-07	0	true	GAMG	3.90619800e-04	7.65983140e-14	1	true
3.4824e-06      	smoothSolver	3.81736220e-04	2.29962880e-13	1	2.74239020e-02	3.11445830e-13	1	false	smoothSolver	3.85379260e-04	6.65219530e-13	1	true	DILUPBiCGStab	3.44182060e-03	4.46516610e-12	1	true	DILUPBiCGStab	6.07301730e-07	6.07301730e-07	0	true	GAMG	3.79183200e-04	6.95835740e-14	1	true
3.58267e-06     	smoothSolver	3.70414400e-04	2.17313770e-13	1	2.66495150e-02	2.77350360e-13	1	false	smoothSolver	3.74546100e-04	6.71057650e-13	1	true	DILUPBiCGStab	3.34094940e-03	4.30636220e-12	1	true	DILUPBiCGStab	6.01881180e-07	6.01881180e-07	0	true	GAMG	3.68396230e-04	6.68506220e-14	1	true
3.68294e-06     	smoothSolver	3.59704330e-04	2.02114930e-13	1	2.59159380e-02	2.48217470e-13	1	false	smoothSolver	3.64307350e-04	6.44281190e-13	1	true	DILUPBiCGStab	3.24572390e-03	4.15341070e-12	1	true	DILUPBiCGStab	5.96504310e-07	5.96504310e-07	0	true	GAMG	3.58203470e-04	6.73444520e-14	1	true
3.78321e-06     	smoothSolver	3.49557590e-04	1.94705850e-13	1	2.52199920e-02	2.23100540e-13	1	false	smoothSolver	3.54613760e-04	6.15796990e-13	1	true	DILUPBiCGStab	3.15567700e-03	4.01040570e-12	1	true	DILUPBiCGStab	5.91160490e-07	5.91160490e-07	0	true	GAMG	3.48555710e-04	6.68747290e-14	1	true
3.88348e-06     	smoothSolver	3.39930550e-04	1.88423790e-13	1	2.45588190e-02	2.01435650e-13	1	false	smoothSolver	3.45421160e-04	5.92357620e-13	1	true	DILUPBiCGStab	3.07039200e-03	3.87551430e-12	1	true	DILUPBiCGStab	5.85842800e-07	5.85842800e-07	0	true	GAMG	3.39408750e-04	6.80541360e-14	1	true
3.98375e-06     	smoothSolver	3.30783190e-04	1.79476970e-13	1	2.39298410e-02	1.82658640e-13	1	false	smoothSolver	3.36689950e-04	5.92617440e-13	1	true	DILUPBiCGStab	2.98950160e-03	3.74943530e-12	1	true	DILUPBiCGStab	5.80544560e-07	5.80544560e-07	0	true	GAMG	3.30723030e-04	6.30203110e-14	1	true
4.08402e-06     	smoothSolver	3.22080040e-04	1.71832360e-13	1	2.33307300e-02	1.66349390e-13	1	false	smoothSolver	3.28384520e-04	5.84737760e-13	1	true	DILUPBiCGStab	2.91267280e-03	3.64559740e-12	1	true	DILUPBiCGStab	5.75259930e-07	5.75259930e-07	0	true	GAMG	3.22462940e-04	5.91571960e-14	1	true
4.18429e-06     	smoothSolver	3.13789540e-04	1.67210950e-13	1	2.27593750e-02	1.52109410e-13	1	false	smoothSolver	3.20472810e-04	5.61130510e-13	1	true	DILUPBiCGStab	2.83960870e-03	3.55976620e-12	1	true	DILUPBiCGStab	5.69984390e-07	5.69984390e-07	0	true	GAMG	3.14596440e-04	6.00376310e-14	1	true
4.28456e-06     	smoothSolver	3.05882870e-04	1.53484150e-13	1	2.22138610e-02	1.39659550e-13	1	false	smoothSolver	3.12925800e-04	5.49795960e-13	1	true	DILUPBiCGStab	2.77003300e-03	3.48102850e-12	1	true	DILUPBiCGStab	5.64713660e-07	5.64713660e-07	0	true	GAMG	3.07094470e-04	4.87990890e-14	1	true
4.38484e-06     	smoothSolver	2.98333150e-04	1.53780850e-13	1	2.16924480e-02	1.28706870e-13	1	false	smoothSolver	3.05717160e-04	5.29016500e-13	1	true	DILUPBiCGStab	2.70371040e-03	3.39596550e-12	1	true	DILUPBiCGStab	5.59444230e-07	5.59444230e-07	0	true	GAMG	2.99930700e-04	5.40280550e-14	1	true
4.48511e-06     	smoothSolver	2.91116470e-04	1.48003500e-13	1	2.11935460e-02	1.18925710e-13	1	false	smoothSolver	2.98822990e-04	5.21300800e-13	1	true	DILUPBiCGStab	2.64043980e-03	3.30975360e-12	1	true	DILUPBiCGStab	5.54173070e-07	5.54173070e-07	0	true	GAMG	2.93081310e-04	5.46254010e-14	1	true
4.58538e-06     	smoothSolver	2.84211100e-04	1.39213690e-13	1	2.07157040e-02	1.10292390e-13	1	false	smoothSolver	2.92221540e-04	5.18393340e-13	1	true	DILUPBiCGStab	2.57997420e-03	3.21541750e-12	1	true	DILUPBiCGStab	5.48896710e-07	5.48896710e-07	0	true	GAMG	2.86524530e-04	5.19604150e-14	1	true
4.68565e-06     	smoothSolver	2.77597780e-04	1.32279710e-13	1	2.02575920e-02	1.02625180e-13	1	false	smoothSolver	2.85903550e-04	5.04370690e-13	1	true	DILUPBiCGStab	2.52213310e-03	3.12338250e-12	1	true	DILUPBiCGStab	5.43611770e-07	5.43611770e-07	0	true	GAMG	2.80253710e-04	3.78921790e-14	1	true
4.78592e-06     	smoothSolver	2.71257580e-04	1.31507870e-13	1	1.98179890e-02	9.58414050e-14	1	false	smoothSolver	2.79873960e-04	5.06511710e-13	1	true	DILUPBiCGStab	2.46675140e-03	3.03530620e-12	1	true	DILUPBiCGStab	5.38316210e-07	5.38316210e-07	0	true	GAMG	2.74269820e-04	4.06920490e-14	1	true
4.88619e-06     	smoothSolver	2.65173680e-04	1.23702800e-13	1	1.93957760e-02	8.91981780e-14	1	false	smoothSolver	2.74109460e-04	4.90359450e-13	1	true	DILUPBiCGStab	2.41367840e-03	2.95086520e-12	1	true	DILUPBiCGStab	5.32993750e-07	5.32993750e-07	0	true	GAMG	2.68546310e-04	4.11843880e-14	1	true
4.98646e-06     	smoothSolver	2.59330740e-04	1.19382730e-13	1	1.89899210e-02	8.27268470e-14	1	false	smoothSolver	2.68593570e-04	4.67341790e-13	1	true	DILUPBiCGStab	2.36277440e-03	2.86587320e-12	1	true	DILUPBiCGStab	5.27576800e-07	5.27576800e-07	0	true	GAMG	2.63075990e-04	3.71753200e-14	1	true
5.08673e-06     	smoothSolver	2.53714590e-04	1.15219640e-13	1	1.85994710e-02	7.66411740e-14	1	false	smoothSolver	2.63300650e-04	4.56758620e-13	1	true	DILUPBiCGStab	2.31390150e-03	2.78038840e-12	1	true	DILUPBiCGStab	5.22150720e-07	5.22150720e-07	0	true	GAMG	2.57830410e-04	3.94720200e-14	1	true
5.187e-06       	smoothSolver	2.48312520e-04	1.11989280e-13	1	1.82235480e-02	7.10279110e-14	1	false	smoothSolver	2.58215720e-04	4.53277340e-13	1	true	DILUPBiCGStab	2.26694350e-03	2.69222310e-12	1	true	DILUPBiCGStab	5.16713190e-07	5.16713190e-07	0	true	GAMG	2.52791520e-04	3.85165210e-14	1	true
5.28727e-06     	smoothSolver	2.43112570e-04	1.07383720e-13	1	1.78613390e-02	6.58808570e-14	1	false	smoothSolver	2.53324240e-04	4.43776870e-13	1	true	DILUPBiCGStab	2.22182820e-03	2.60397370e-12	1	true	DILUPBiCGStab	5.11262740e-07	5.11262740e-07	0	true	GAMG	2.47944550e-04	3.55610480e-14	1	true
